318,Tyler,Glasnow,7,3.67,1.32,135,"",607192
321,Matt,Strahm,"",2.76,1.12,95,0,621381
323,Michael,Wacha,10,4.04,1.32,130,"",608379
324,Carter,Capps,"",3.33,1.20,68,14,605169
328,Mike,Montgomery,"",3.89,1.29,116,0,543557
329,Hector,Rondon,"",2.32,1.02,64,4,444468
333,Brandon,Maurer,"",3.86,1.22,59,17,543506
334,Chad,Kuhl,9,3.98,1.29,122,"",641771
335,Greg,Holland,"",3.81,1.31,55,19,518813
338,Tyson,Ross,7,3.60,1.31,116,"",475115
339,Clay,Buchholz,9,4.06,1.29,120,"",453329
340,Chase,Anderson,10,4.33,1.30,127,"",502624
341,Chad,Bettis,11,4.41,1.35,145,"",518452
343,Ricky,Nolasco,9,4.31,1.30,140,"",445060
346,Tom,Koehler,10,4.15,1.38,145,"",543408
347,Alex,Wood,6,3.43,1.23,100,"",622072
349,Hector,Santiago,10,4.35,1.37,150,"",502327
350,Chris,Devenski,"",3.13,1.12,88,0,606965
351,Edinson,Volquez,11,4.31,1.38,145,"",450172
353,Brad,Hand,"",3.36,1.18,96,2,543272
354,Kyle,Barraclough,"",3.12,1.20,103,0,607457
358,Matt,Bush,"",2.81,0.98,65,2,456713
359,Darren,O'Day,"",2.81,1.08,75,2,503285
360,Sean,Doolittle,"",3.11,1.04,64,7,448281
361,Tyler,Thornburg,"",3.05,1.18,73,4,592804
367,Mychal,Givens,"",2.92,1.24,92,0,571710
368,Michael,Feliz,"",3.43,1.13,90,0,593140
373,Adam,Ottavino,"",3.05,1.21,61,10,493603
374,Archie,Bradley,10,4.50,1.45,165,"",605151
375,CC,Sabathia,9,4.29,1.37,140,"",282332
376,Joe,Blanton,"",3.16,1.20,71,2,430599
378,Luke,Gregerson,"",3.00,1.03,62,3,502381
380,Matt,Andriese,7,4.07,1.27,111,"",542882
381,Jose,Berrios,7,4.10,1.34,132,"",621244
382,Will,Harris,"",2.42,1.10,66,1,501789
383,Brandon,Kintzler,"",3.63,1.28,40,19,445213
384,Arodys,Vizcaino,"",3.33,1.26,55,14,527055
385,Michael,Lorenzen,"",3.25,1.17,65,7,547179
389,Miguel,Gonzalez,9,4.30,1.30,111,"",456068
392,Ubaldo,Jimenez,9,4.34,1.44,153,"",434622
394,Jimmy,Nelson,10,4.47,1.41,145,"",519076
395,Fernando,Rodney,"",4.05,1.38,60,15,407845
396,Blake,Treinen,"",3.31,1.31,65,8,595014
397,Pedro,Baez,"",3.18,1.09,74,0,520980
399,Travis,Wood,"",4.03,1.26,95,0,475243
400,Scott,Kazmir,7,4.07,1.31,105,"",431148
401,Luis,Perdomo,9,4.25,1.37,125,"",606131
402,Hunter,Strickland,"",2.95,1.08,59,2,519326
403,Kevin,Siegrist,"",3.32,1.15,72,4,543779
407,Ryan,Buchter,"",3.09,1.10,77,2,488748
409,Pedro,Strop,"",3.05,1.02,70,0,467008
413,Jhoulys,Chacin,7,3.86,1.36,112,"",468504
416,Nathan,Karns,6,3.98,1.27,95,"",501992
419,Wade,Miley,9,4.47,1.39,140,"",489119
424,Patrick,Corbin,7,4.05,1.33,102,"",571578
433,Matt,Boyd,7,4.50,1.33,125,"",571510
434,Seth,Lugo,"",4.01,1.24,77,0,607625
436,Lucas,Giolito,6,3.98,1.36,108,"",608337
437,Will,Smith,"",3.10,1.20,68,1,519293
438,Brad,Ziegler,"",2.73,1.24,50,6,446899
440,Tyler,Chatwood,10,4.20,1.36,100,"",543022
441,Ryan,Dull,"",3.39,1.14,67,2,623430
445,Carlos,Torres,"",3.26,1.25,71,1,448614
446,Drew,Storen,"",3.76,1.22,50,10,519322
447,Glen,Perkins,"",3.83,1.30,43,13,450282
450,Yovani,Gallardo,9,4.24,1.42,122,"",451596
452,Colby,Lewis,7,4.33,1.30,99,"",407890
453,Trevor,Rosenthal,"",3.23,1.36,80,1,572096
457,Luke,Weaver,5,4.26,1.31,98,"",596133
459,Koji,Uehara,"",2.93,0.98,56,1,493157
460,Jeanmar,Gomez,"",4.11,1.43,49,16,491646
461,Santiago,Casilla,"",3.86,1.29,58,7,433586
464,Sergio,Romo,"",3.00,1.13,56,1,489265
465,Chris,Rusin,"",3.68,1.26,71,0,543734
