RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
824,Hiram,Burgos,Mil,SP,FA,--,--,--,--,--
825,Paco,Rodriguez,Atl,RP,FA,--,--,--,--,--
826,Kyuji,Fujikawa,Tex,RP,FA,--,--,--,--,--
827,Curtis,Partch,Pit,RP,FA,--,--,--,--,--
828,Melvin,Mercedes,Det,RP,FA,--,--,--,--,--
829,Michael,Tonkin,Min,RP,FA,60,3,4.23,1.36,3
830,Michael,Blazek,Mil,RP,FA,36,2,4.71,1.57,5
831,Keith,Butler,StL,RP,FA,--,--,--,--,--
832,Carlos,Contreras,Cin,RP,FA,--,--,--,--,--
833,Eric,Fornataro,Wsh,RP,FA,--,--,--,--,--
834,David,Hale,Bal,"SP,",FA,--,--,--,--,--
835,Aaron,Northcraft,SD,RP,FA,--,--,--,--,--
836,Jose,Ramirez,Atl,RP,FA,41,2,3.69,1.49,0
837,Josh,Ravin,LAD,RP,FA,19,1,3.6,1.27,0
838,Francisco,Rondon,NYY,RP,FA,--,--,--,--,--
839,Nik,Turley,CWS,SP,FA,--,--,--,--,--
840,Justin,Marks,TB,RP,FA,14,1,4.5,1.5,0
841,Trey,Haley,Pit,RP,FA,--,--,--,--,--
842,T.J.,House,Tor,RP,FA,29,2,4.91,1.77,0
843,Chris,Heston,Sea,RP,FA,33,2,4.6,1.4,0
844,Johnny,Barbato,NYY,RP,FA,--,--,--,--,--
845,Matt,Stites,Ari,RP,FA,--,--,--,--,--
846,Gus,Schlosser,Col,RP,FA,--,--,--,--,--
847,Scott,Snodgress,LAA,RP,FA,--,--,--,--,--
848,Wirfin,Obispo,Mil,RP,FA,--,--,--,--,--
849,Daniel,Rodriguez,Bal,RP,FA,--,--,--,--,--
850,Adam,Liberatore,LAD,RP,FA,40,2,3.35,1.21,15
851,Kirby,Yates,LAA,RP,FA,45,2,4.29,1.38,0
852,Chad,Rogers,Cin,RP,FA,--,--,--,--,--
853,Ryan,Robowski,Det,RP,FA,--,--,--,--,--
854,Jonathan,Arias,Sea,RP,FA,--,--,--,--,--
855,Carson,Smith,Bos,RP,FA,34,2,2.9,1.19,4
856,Cory,Mazzoni,SD,RP,FA,--,--,--,--,--
857,Patrick,McCoy,Tor,RP,FA,--,--,--,--,--
858,Rafael,Montero,NYM,"RP,",FA,17,1,5.57,1.71,0
859,Adam,Morgan,Phi,RP,FA,43,2,4.69,1.35,0
860,Giovanni,Soto,CWS,RP,FA,19,1,4.5,1.55,0
861,Cody,Buckel,Tex,SP,FA,--,--,--,--,--
862,Seth,Maness,KC,RP,FA,--,--,--,--,--
863,Tyler,Lyons,StL,RP,FA,13,1,4.2,1.27,5
864,Matt,Tracy,NYY,RP,FA,--,--,--,--,--
865,Nick,Goody,Cle,RP,FA,29,1,4.13,1.29,0
866,Barret,Loux,ChC,SP,FA,--,--,--,--,--
867,Dayan,Diaz,Hou,RP,FA,--,--,--,--,--
868,Jorge,Rondon,Pit,RP,FA,--,--,--,--,--
869,Edwin,Escobar,Ari,RP,FA,--,--,--,--,--
870,Josh,Osich,SF,RP,FA,29,2,3.48,1.32,17
871,Hansel,Robles,NYM,RP,FA,75,4,3.79,1.33,14
872,Michael,Brady,Oak,SP,FA,--,--,--,--,--
873,Brian,Flynn*,KC,RP,FA,53,4,3.57,1.33,0
874,Andrew,Heaney,LAA,SP,FA,--,--,--,--,--
875,Raudel,Lazo,Mia,RP,FA,--,--,--,--,--
876,T.J.,McFarland,Bal,RP,FA,--,--,--,--,--
877,Jim,Patterson,TB,RP,FA,--,--,--,--,--
878,Max,Fried,Atl,SP,FA,--,--,--,--,--
879,Kyle,Zimmer,KC,RP,FA,21,1,4.09,1.32,0
880,Chase,Anderson,Mil,SP,FA,125,8,4.47,1.32,0
881,Corey,Black,ChC,RP,FA,--,--,--,--,--
882,Nick,Tepesch,Min,"RP,",FA,13,1,4.33,1.41,0
883,Eury,De,La,,FA,--,--,--,--,--
884,Shane,Greene,Det,RP,FA,23,1,4.18,1.36,8
885,Zach,Nuding,NYY,RP,FA,--,--,--,--,--
886,Vidal,Nuno,LAD,RP,FA,46,3,4.11,1.23,11
887,Mikey,O'Brien,NYY,SP,FA,--,--,--,--,--
888,Sean,Nolin,Mil,SP,FA,--,--,--,--,--
889,Buddy,Boshers,Min,RP,FA,41,2,4.17,1.27,0
890,R.J.,Alvarez,Tex,RP,FA,--,--,--,--,--
891,Mark,Sappington,TB,RP,FA,--,--,--,--,--
892,Jackson,Stephens,Cin,"RP,",FA,--,--,--,--,--
893,Mike,Bolsinger,Tor,RP,FA,80,4,4.92,1.49,0
894,Michael,Roth,SF,"SP,",FA,--,--,--,--,--
895,Angel,Castro,Oak,RP,FA,--,--,--,--,--
896,Bradin,Hagens,Ari,SP,FA,--,--,--,--,--
897,Andrew,Barbosa,Mil,RP,FA,--,--,--,--,--
898,Andrew,Albers,Min,"RP,",FA,12,1,4.95,1.55,0
899,Branden,Kline,Bal,SP,FA,--,--,--,--,--
900,Brian,Johnson,Bos,SP,FA,--,--,--,--,--
901,Juan,Paniagua,ChC,RP,FA,--,--,--,--,--
902,Kieran,Lovegrove,Cle,SP,FA,--,--,--,--,--
903,Martin,Agosta,SF,SP,FA,--,--,--,--,--
904,Miguel,Almonte,KC,RP,FA,--,--,--,--,--
905,Mike,Clevinger,Cle,RP,FA,47,3,4.19,1.4,0
906,Mitch,Brown,Cle,SP,FA,--,--,--,--,--
907,Montreal,Robertson,Det,RP,FA,--,--,--,--,--
908,Nick,Travieso,Cin,SP,FA,--,--,--,--,--
909,Onelki,Garcia,CWS,RP,FA,--,--,--,--,--
910,Paul,Blackburn,Oak,SP,FA,--,--,--,--,--
911,Pierce,Johnson,ChC,RP,FA,25,1,4.67,1.56,0
912,Tyler,Pike,Atl,SP,FA,--,--,--,--,--
913,Zack,Bird,Atl,SP,FA,--,--,--,--,--
914,Chris,Stratton,SF,"SP,",FA,--,--,--,--,--
915,Ross,Stripling,LAD,RP,FA,65,5,4.02,1.27,0
916,Andres,Santiago,ChC,RP,FA,--,--,--,--,--
917,Nolan,Sanburn,CWS,RP,FA,--,--,--,--,--
918,Walker,Weickel,SD,RP,FA,--,--,--,--,--
919,Zach,Eflin,Phi,RP,FA,39,3,4.25,1.15,0
920,Lucas,Sims,Atl,SP,FA,--,--,--,--,--
921,Andrew,Chafin,Ari,RP,FA,46,2,4.08,1.4,10
922,Chase,De,"Jong,",,FA,13,1,3,1.07,0
923,Matthew,Smoral,Tor,RP,FA,--,--,--,--,--
924,Chris,Beck,CWS,"SP,",FA,--,--,--,--,--
925,Clay,Holmes,Pit,SP,FA,--,--,--,--,--
926,Duane,Underwood,ChC,SP,FA,--,--,--,--,--
927,Eddie,Butler,ChC,RP,FA,22,2,4.91,1.42,0
928,Ben,Rowen,NYM,RP,FA,25,3,3.23,1.31,0
929,Chad,Bell,Det,"RP,",FA,--,--,--,--,--
930,Jason,Gurka,NYY,RP,FA,--,--,--,--,--
931,Chris,Martin,NYY,RP,FA,--,--,--,--,--
932,Edwin,Quirarte,SF,RP,FA,--,--,--,--,--
933,Ryan,O'Sullivan,Phi,RP,FA,--,--,--,--,--
934,Mike,Nesseth,Phi,RP,FA,--,--,--,--,--
935,Mike,Morin,LAA,RP,FA,59,3,3.79,1.21,14
936,Stephen,Kohlscheen,Mil,RP,FA,--,--,--,--,--
937,Noe,Ramirez,Bos,RP,FA,22,1,4.3,1.48,0
938,Brandon,Workman,Bos,SP,FA,--,--,--,--,--
939,Mitch,Harris,StL,RP,FA,--,--,--,--,--
940,Jack,Leathersich,ChC,RP,FA,20,1,4.2,1.47,0
941,Jeff,Walters,NYM,RP,FA,--,--,--,--,--
942,Jairo,Diaz,Col,RP,FA,14,1,4.8,1.47,0
943,Miguel,Celestino,Bos,RP,FA,--,--,--,--,--
944,Steven,Inch,Phi,RP,FA,--,--,--,--,--
945,Jhonathan,Ramos,Pit,SP,FA,--,--,--,--,--
946,Andrew,Robinson,Wsh,RP,FA,--,--,--,--,--
947,Aaron,Barrett,Wsh,RP,FA,36,2,3.6,1.23,0
948,Tyler,Wilson,Bal,RP,FA,29,2,4.6,1.36,0
949,Chasen,Shreve,NYY,RP,FA,43,2,3.69,1.23,5
950,Sam,Runion,TB,RP,FA,--,--,--,--,--
951,Jeffry,Antigua,ChC,SP,FA,--,--,--,--,--
952,Malcom,Culver,KC,RP,FA,--,--,--,--,--
953,Ryan,Kelly,Atl,RP,FA,--,--,--,--,--
954,Robby,Scott,Bos,RP,FA,27,2,3.44,1.24,5
955,Ryan,Pressly,Min,RP,FA,64,4,3.63,1.32,10
956,Bobby,LaFromboise,Phi,RP,FA,--,--,--,--,--
957,Sugar,Ray,"Marimon,",,FA,--,--,--,--,--
958,David,Martinez,Tex,RP,FA,--,--,--,--,--
959,Gonzalez,Germen,Col,RP,FA,--,--,--,--,--
960,Burch,Smith,TB,SP,FA,--,--,--,--,--
961,Jose,Dominguez,SF,RP,FA,28,1,4.8,1.57,0
962,Luis,Garcia,Phi,RP,FA,31,2,3.97,1.47,0
963,Miguel,Alfredo,"Gonzalez,",,FA,--,--,--,--,--
964,Eddie,Gamboa,Tex,RP,FA,29,3,3.32,1.37,0
965,Dallas,Beeler,ChC,RP,FA,10,1,4.2,1.47,0
966,Jayson,Aquino,Bal,RP,FA,10,1,4.2,1.47,0
967,Raul,Fernandez,Min,RP,FA,--,--,--,--,--
968,Kraig,Sitton,SF,RP,FA,--,--,--,--,--
969,Joely,Rodriguez,Phi,RP,FA,13,1,4.74,1.47,2
970,Casey,Sadler,Pit,SP,FA,--,--,--,--,--
971,Jose,Valdez,LAA,RP,FA,--,--,--,--,--
972,Luis,Cruz,Hou,SP,FA,--,--,--,--,--
973,Kevin,Shackelford,Cin,RP,FA,--,--,--,--,--
974,Brooks,Hall,Mil,SP,FA,--,--,--,--,--
975,Patrick,Schuster,LAD,RP,FA,9,1,4.09,1.45,0
976,Wei-Chung,Wang,Mil,SP,FA,--,--,--,--,--
977,Jake,Barrett,Ari,RP,FA,64,3,3.84,1.34,14
978,Drew,VerHagen,Det,RP,FA,10,1,4.5,1.44,0
979,Scott,Alexander,KC,RP,FA,31,3,3.89,1.39,0
980,Aaron,Brooks,ChC,RP,FA,11,1,4.8,1.4,0
981,Chase,Bradford,NYM,RP,FA,--,--,--,--,--
982,Adam,Kolarek,Atl,RP,FA,--,--,--,--,--
983,Logan,Verrett,Bal,"RP,",FA,51,3,5.05,1.47,0
984,Jason,Hursh,Atl,RP,FA,--,--,--,--,--
985,Lay,Batista,Atl,RP,FA,--,--,--,--,--
986,Cody,Martin,Sea,RP,FA,31,2,4.37,1.43,0
987,Shae,Simmons,Sea,RP,FA,32,2,3.09,1.28,0
988,Ian,Thomas,LAD,RP,FA,--,--,--,--,--
989,Ty,Blach,SF,SP,FA,25,2,4.3,1.39,0
990,Derek,Law,SF,RP,FA,50,3,2.89,1.16,18
991,Mark,Appel,Phi,SP,FA,--,--,--,--,--
992,Jake,Buchanan,ChC,RP,FA,9,1,4.8,1.33,0
993,Chris,Bassitt,Oak,SP,FA,9,1,4.09,1.36,0
994,Roenis,Elias,Bos,SP,FA,--,--,--,--,--
995,James,Gillheeney,Sea,SP,FA,--,--,--,--,--
996,Dominic,Leone,Tor,RP,FA,32,2,4.34,1.41,0
997,Sam,Gaviglio,Sea,SP,FA,--,--,--,--,--
998,Marco,Gonzales,StL,RP,FA,16,1,4.95,1.4,0
999,Tim,Cooney,Cle,RP,FA,12,1,4.24,1.29,0
1000,Zach,Petrick,StL,SP,FA,--,--,--,--,--
1001,Leonel,Campos,Tor,RP,FA,31,1,5,1.56,0
1002,Nick,Tropeano,LAA,SP,FA,--,--,--,--,--
1003,Marcus,Walden,Bos,"SP,",FA,--,--,--,--,--
1004,Armando,Rivero,Atl,RP,FA,24,1,3.79,1.42,0
1005,Eric,Jokisch,Tex,SP,FA,--,--,--,--,--
1006,Bryan,Evans,Mia,SP,FA,--,--,--,--,--
1007,Chris,Anderson,LAD,SP,FA,--,--,--,--,--
1008,Cody,Anderson,Cle,RP,FA,53,3,4.64,1.34,0
1009,Hunter,Harvey,Bal,SP,FA,--,--,--,--,--
1010,Rob,Kaminsky,StL,SP,FA,--,--,--,--,--
1011,Ben,Lively,Phi,SP,FA,--,--,--,--,--
1012,Adalberto,Mejia,Min,"SP,",FA,35,3,3.68,1.25,0
1013,David,Goforth,Mil,RP,FA,--,--,--,--,--
1014,Bobby,Wahl,Oak,RP,FA,--,--,--,--,--
1015,Henry,Owens,Bos,RP,FA,15,1,4.24,1.41,0
1016,Braden,Shipley,Ari,RP,FA,48,4,4.57,1.42,0
1017,Kohl,Stewart,Min,SP,FA,--,--,--,--,--
1018,Alberto,Tirado,Phi,RP,FA,--,--,--,--,--
1019,Devin,Williams,Mil,SP,FA,--,--,--,--,--
1020,Trey,Ball,Bos,SP,FA,--,--,--,--,--
1021,Ian,Clarkin,NYY,SP,FA,--,--,--,--,--
1022,Tyler,Danish,CWS,"SP,",FA,--,--,--,--,--
1023,Luiz,Gohara,Atl,SP,FA,--,--,--,--,--
1024,Severino,Gonzalez,Mia,"SP,",FA,--,--,--,--,--
1025,Felix,Jorge,Min,SP,FA,--,--,--,--,--
1026,Frankie,Montas,Oak,RP,FA,41,2,4.29,1.33,0
1027,Jonathon,Crawford,Cin,SP,FA,--,--,--,--,--
1028,Scott,Oberg,Col,RP,FA,--,--,--,--,--
1029,Ricardo,Sanchez,LAA,SP,FA,--,--,--,--,--
1030,Lewis,Thorpe,Min,SP,FA,--,--,--,--,--
1031,Nick,Wittgren,Mia,RP,FA,40,3,3.33,1.15,2
1032,Christian,Bergman,Sea,RP,FA,19,1,4.97,1.41,0
1033,Carlos,Frias,Cle,RP,FA,10,1,4.76,1.53,0
1034,Dalier,Hinojosa,Phi,RP,FA,--,--,--,--,--
1035,Tim,Crabbe,Ari,RP,FA,--,--,--,--,--
1036,David,Buchanan,Phi,SP,FA,--,--,--,--,--
1037,Tom,Windle,LAD,RP,FA,--,--,--,--,--
1038,Walker,Lockett,SD,"RP,",FA,--,--,--,--,--
1039,Joan,Gregorio,SF,RP,FA,--,--,--,--,--
1040,Jairo,Labourt,Det,SP,FA,--,--,--,--,--
1041,Ryne,Stanek,TB,SP,FA,--,--,--,--,--
1042,Trevor,Williams,Pit,RP,FA,13,1,3.79,1.37,0
1043,Dylan,Covey,CWS,RP,FA,17,1,4.05,1.45,0
1044,Paolo,Espino,Mil,"RP,",FA,--,--,--,--,--
1045,Kyle,Ryan,Det,RP,FA,34,3,3.86,1.23,8
1046,Chad,Green,NYY,SP,FA,89,5,4.07,1.23,0
1047,Keith,Couch,Bos,SP,FA,--,--,--,--,--
1048,Steve,Smith,LAD,RP,FA,--,--,--,--,--
1049,Boone,Whiting,StL,SP,FA,--,--,--,--,--
1050,Stephen,Shackleford,Sea,RP,FA,--,--,--,--,--
1051,Seth,Frankoff,ChC,"RP,",FA,--,--,--,--,--
1052,Sam,Tuivailala,StL,RP,FA,25,1,4.05,1.5,0
1053,Nick,Martinez,Tex,SP,FA,21,1,4.94,1.45,0
1054,Taylor,Hill,Wsh,RP,FA,--,--,--,--,--
1055,Taylor,Thompson,Oak,RP,FA,--,--,--,--,--
1056,Jimmie,Sherfy,Ari,RP,FA,--,--,--,--,--
1057,Scott,McGregor,Wsh,SP,FA,--,--,--,--,--
1058,Kyle,Crockett,Cle,RP,FA,14,1,4.5,1.44,0
1059,Hunter,Cervenka,Mia,RP,FA,19,1,3.15,1.35,4
1060,James,Hoyt,Hou,RP,FA,29,2,3,1.14,0
1061,Dan,Winkler,Atl,RP,FA,--,--,--,--,--
1062,James,Pazos,Sea,RP,FA,19,1,4,1.44,0
1063,Leuris,Gomez,Col,RP,FA,--,--,--,--,--
1064,Danny,Reynolds,LAA,RP,FA,--,--,--,--,--
1065,John,Cornely,Bos,RP,FA,--,--,--,--,--
1066,Spencer,Patton,FA,RP,FA,--,--,--,--,--
1067,Jon,Edwards,SD,RP,FA,--,--,--,--,--
1068,Giancarlo,Alvarado,NYM,"SP,",FA,--,--,--,--,--
1069,Keone,Kela,Tex,RP,FA,51,2,3.68,1.27,18
1070,Cody,Ege,LAA,RP,FA,12,1,4.5,1.64,0
1071,Shawn,Armstrong,Cle,RP,FA,17,1,3.86,1.43,0
1072,Toru,Murata,Cle,SP,FA,--,--,--,--,--
1073,Richard,Bleier,NYY,RP,FA,17,3,3.56,1.26,0
1074,Ryan,Dennick,LAD,RP,FA,--,--,--,--,--
1075,Brandon,Cunniff,Mia,RP,FA,15,1,3.5,1.33,4
1076,Ryan,Weber,Sea,RP,FA,20,2,3.89,1.3,0
1077,Wil,Browning,Tor,RP,FA,--,--,--,--,--
1078,Tyler,Waldron,StL,RP,FA,--,--,--,--,--
1079,Fabian,Williamson,Mia,RP,FA,--,--,--,--,--
1080,Mayckol,Guaipe,Sea,RP,FA,--,--,--,--,--
1081,Trevor,Gott,Wsh,RP,FA,14,1,4,1.39,0
1082,Chi,Chi,"Gonzalez,",,FA,8,1,5.79,1.5,0
1083,Chad,Smith,Tex,RP,FA,--,--,--,--,--
1084,Odrisamer,Despaigne,Mia,RP,FA,12,1,4.8,1.47,0
1085,Drew,Rucinski,Min,RP,FA,21,1,6,1.58,0
1086,Phil,Klein,Phi,RP,FA,--,--,--,--,--
1087,Caleb,Clay,LAA,SP,FA,--,--,--,--,--
1088,Buck,Farmer,Det,SP,FA,11,1,4.5,1.43,0
1089,Alex,Claudio,Tex,RP,FA,33,2,3.14,1.14,5
1090,Frank,Garces,SD,RP,FA,--,--,--,--,--
1091,John,Holdzkom,Pit,RP,FA,--,--,--,--,--
1092,Dario,Alvarez,Tex,RP,FA,20,1,6.63,1.63,0
1093,A.J.,Achter,Det,RP,FA,29,2,3.82,1.18,0
1094,Daniel,Coulombe,Oak,RP,FA,51,3,3.56,1.23,0
1095,Elvis,Araujo,Phi,RP,FA,--,--,--,--,--
1096,Matt,Grace,Wsh,RP,FA,21,2,3.67,1.33,0
1097,Nefi,Ogando,Cin,RP,FA,10,1,4.2,1.33,0
1098,Jason,Wheeler,Min,SP,FA,--,--,--,--,--
1099,Ryan,Merritt,Cle,RP,FA,17,2,4.2,1.23,0
1100,Angel,Nesbitt,Det,RP,FA,--,--,--,--,--
1101,Yean,Carlos,"Gil,",,FA,--,--,--,--,--
1102,Mike,Strong,Min,RP,FA,--,--,--,--,--
1103,Will,Locante,Ari,RP,FA,--,--,--,--,--
1104,Akeel,Morris,Atl,RP,FA,--,--,--,--,--
1105,Williams,Perez,ChC,RP,FA,38,3,3.93,1.31,0
1106,Gabriel,Ynoa,Bal,RP,FA,12,1,4.5,1.36,0
1107,Amir,Garrett,Cin,SP,FA,27,2,3.48,1.45,0
1108,Grayson,Garvin,TB,SP,FA,--,--,--,--,--
1109,Tayron,Guerrero,Mia,RP,FA,--,--,--,--,--
1110,Cody,Hall,Mia,RP,FA,--,--,--,--,--
1111,Raymond,Black,SF,RP,FA,--,--,--,--,--
1112,Jason,Garcia,Bal,RP,FA,--,--,--,--,--
1113,Jandel,Gustave,Hou,RP,FA,29,2,3.48,1.29,0
1114,David,Rollins,ChC,RP,FA,16,1,4.91,1.36,0
1115,Ryan,O'Rourke,Min,RP,FA,26,2,3.67,1.26,0
1116,Taylor,Rogers,Min,RP,FA,56,3,4.14,1.37,11
1117,Nate,Smith,LAA,SP,FA,--,--,--,--,--
1118,Adrian,Sampson,Tex,RP,FA,11,1,4.76,1.35,0
1119,Jon,Moscot,Cin,SP,FA,--,--,--,--,--
1120,Jordan,Jankowski,Hou,RP,FA,--,--,--,--,--
1121,Nick,Howard,Cin,RP,FA,--,--,--,--,--
1122,Brady,Rodgers,Hou,RP,FA,14,1,4.5,1.39,0
1123,Matt,Bowman,StL,RP,FA,54,3,3.55,1.3,14
1124,Jon,Velasquez,NYM,RP,FA,--,--,--,--,--
1125,Tyler,Pill,NYM,SP,FA,--,--,--,--,--
1126,Yoan,Lopez,Ari,SP,FA,--,--,--,--,--
1127,Joe,Mantiply,NYY,RP,FA,15,1,3,1.2,0
1128,Omar,Duran,Det,RP,FA,--,--,--,--,--
1129,Tyler,Olson,Cle,RP,FA,--,--,--,--,--
1130,Jordan,Pries,Sea,SP,FA,--,--,--,--,--
1131,Christian,Binford,KC,SP,FA,--,--,--,--,--
1132,Justin,Hancock,SD,SP,FA,--,--,--,--,--
1133,Chris,Rearick,SD,RP,FA,--,--,--,--,--
1134,Will,Roberts,Cle,SP,FA,--,--,--,--,--
1135,Tyler,Kolek,Mia,SP,FA,--,--,--,--,--
1136,Steven,Okert,SF,RP,FA,24,1,4.09,1.32,1
1137,Robert,Zarate,Pit,RP,FA,--,--,--,--,--
1138,Mitch,Keller,Pit,SP,FA,--,--,--,--,--
1139,Yoel,Mecias,Phi,SP,FA,--,--,--,--,--
1140,Keury,Mella,Cin,SP,FA,--,--,--,--,--
1141,Taylor,Williams,Mil,SP,FA,--,--,--,--,--
1142,Domingo,German,NYY,SP,FA,--,--,--,--,--
1143,Matt,Ramsey,Mia,RP,FA,--,--,--,--,--
1144,Nick,Burdi,Min,RP,FA,--,--,--,--,--
1145,Jacob,Lindgren,Atl,RP,FA,--,--,--,--,--
1146,Chris,Ellis,Atl,SP,FA,--,--,--,--,--
1147,Mike,Mayers,StL,RP,FA,13,1,4.5,1.44,0
1148,Spencer,Turnbull,Det,SP,FA,--,--,--,--,--
1149,Brady,Feigl,Atl,RP,FA,--,--,--,--,--
1150,Tyler,Wagner,Tex,RP,FA,8,1,4.85,1.38,0
1151,Antonio,Senzatela,Col,SP,FA,--,--,--,--,--
1152,Miguel,Diaz,SD,"RP,",FA,--,--,--,--,--
1153,Carson,Sands,ChC,RP,FA,--,--,--,--,--
1154,Elniery,Garcia,Phi,"RP,",FA,--,--,--,--,--
1155,Joe,Gatto,LAA,SP,FA,--,--,--,--,--
1156,Sean,Reid-Foley,Tor,RP,FA,--,--,--,--,--
1157,Stephen,Gonsalves,Min,SP,FA,--,--,--,--,--
1158,Joe,Jimenez,Det,RP,FA,--,--,--,--,--
1159,Marcos,Molina,NYM,SP,FA,--,--,--,--,--
1160,Michael,Kopech,CWS,SP,FA,--,--,--,--,--
1161,Kodi,Medeiros,Mil,RP,FA,--,--,--,--,--
1162,Dean,Kiekhefer,Sea,RP,FA,12,1,3.79,1.26,0
1163,Foster,Griffin,KC,SP,FA,--,--,--,--,--
1164,Marcos,Diplan,Mil,SP,FA,--,--,--,--,--
1165,Diego,Moreno,TB,RP,FA,--,--,--,--,--
1166,Dillon,Overton,Sea,RP,FA,20,1,5.09,1.39,0
1167,Tyler,Webb,Pit,RP,FA,19,1,4.26,1.37,0
1168,Spencer,Adams,CWS,SP,FA,--,--,--,--,--
1169,Victor,Alcantara,Det,SP,FA,--,--,--,--,--
1170,Touki,Toussaint,Atl,SP,FA,--,--,--,--,--
1171,Jen-Ho,Tseng,ChC,SP,FA,--,--,--,--,--
1172,Erick,Fedde,Wsh,SP,FA,--,--,--,--,--
1173,Matt,Imhof,Phi,SP,FA,--,--,--,--,--
1174,Tyler,Beede,SF,SP,FA,--,--,--,--,--
1175,Kyle,McGowin,Wsh,"RP,",FA,13,1,6.35,1.59,0
1176,Austin,Kubitza,Det,RP,FA,--,--,--,--,--
1177,Andrew,Bellatti,TB,RP,FA,--,--,--,--,--
1178,Justus,Sheffield,NYY,"RP,",FA,--,--,--,--,--
1179,Scott,Blewett,KC,SP,FA,--,--,--,--,--
1180,Ryan,Butler,SD,RP,FA,--,--,--,--,--
1181,Miguel,Castro,Col,RP,FA,--,--,--,--,--
1182,Ricardo,Pinto,Phi,SP,FA,--,--,--,--,--
1183,Tyler,Cravy,Mil,RP,FA,36,2,4.4,1.37,0
1184,Jorge,Lopez,Mil,SP,FA,--,--,--,--,--
1185,Brian,Ellington,Mia,RP,FA,18,1,3.6,1.33,0
1186,Franklyn,Kilome,Phi,SP,FA,--,--,--,--,--
1187,Jack,Flaherty,StL,SP,FA,--,--,--,--,--
1188,Kyle,Freeland,Col,RP,FA,20,2,5.18,1.45,0
1189,Grant,Holmes,LAD,SP,FA,--,--,--,--,--
1190,Jeff,Hoffman,Col,SP,FA,100,6,5.14,1.51,0
1191,Jarlin,Garcia,Mia,SP,FA,--,--,--,--,--
1192,Nick,Rumbelow,NYY,RP,FA,18,1,4.24,1.24,0
1193,Dylan,Floro,ChC,"SP,",FA,--,--,--,--,--
1194,Luis,Ortiz,Tex,RP,FA,--,--,--,--,--
1195,Kevin,Ziomek,Det,SP,FA,--,--,--,--,--
1196,Hobbs,Johnson,Mil,SP,FA,--,--,--,--,--
1197,Sean,Newcomb,Atl,SP,FA,--,--,--,--,--
1198,Stephen,Landazuri,Sea,SP,FA,--,--,--,--,--
1199,Scott,Copeland,Mia,SP,FA,--,--,--,--,--
1200,Kenny,Roberts,Phi,RP,FA,--,--,--,--,--
1201,Martire,Garcia,Tex,RP,FA,--,--,--,--,--
1202,Jon,Keller,Bal,RP,FA,--,--,--,--,--
1203,Cesar,Vargas,SD,"RP,",FA,64,4,3.65,1.3,0
1204,Tucker,Healy,Oak,RP,FA,--,--,--,--,--
1205,Taylor,Garrison,NYY,SP,FA,--,--,--,--,--
1206,Matt,Anderson,Sea,RP,FA,--,--,--,--,--
1207,Andrew,Thurman,Atl,SP,FA,--,--,--,--,--
1208,Marcel,Prado,Bal,RP,FA,--,--,--,--,--
1209,Michael,Jensen,ChC,RP,FA,--,--,--,--,--
1210,Caleb,Cotham,Cin,RP,FA,--,--,--,--,--
1211,Matt,Shelton,LAD,SP,FA,--,--,--,--,--
1212,Jesus,Pirela,Tex,RP,FA,--,--,--,--,--
1213,Scott,DeCecco,Sea,SP,FA,--,--,--,--,--
1214,Gabriel,Arias,Ari,SP,FA,--,--,--,--,--
1215,Paul,Fry,Sea,RP,FA,--,--,--,--,--
1216,Jaron,Long,NYY,SP,FA,--,--,--,--,--
1217,Trey,Cochran-Gill,Oak,RP,FA,--,--,--,--,--
1218,Tyson,Perez,Hou,RP,FA,--,--,--,--,--
1219,Jairo,Heredia,Atl,SP,FA,--,--,--,--,--
1220,Josh,McElwee,Tex,RP,FA,--,--,--,--,--
1221,Cody,Kendall,Tex,RP,FA,--,--,--,--,--
1222,Jose,Leclerc,Tex,RP,FA,22,1,4.29,1.52,0
1223,Brandon,Alger,SD,RP,FA,--,--,--,--,--
1224,Dan,Slania,SF,"RP,",FA,--,--,--,--,--
1225,Colin,Rea,SD,SP,FA,37,3,4,1.39,0
1226,Will,Lamb,CWS,RP,FA,--,--,--,--,--
1227,Brian,Rauh,Wsh,SP,FA,--,--,--,--,--
1228,Johan,Belisario,Det,RP,FA,--,--,--,--,--
1229,Tim,Adleman,Cin,SP,FA,116,7,4.5,1.27,0
1230,Ben,Klimesh,Cin,RP,FA,--,--,--,--,--
1231,El'Hajj,Muhammad,Cin,RP,FA,--,--,--,--,--
1232,Whit,Mayberry,Det,RP,FA,--,--,--,--,--
1233,Kurt,Spomer,LAA,RP,FA,--,--,--,--,--
1234,Greg,Mahle,LAA,RP,FA,19,1,6.38,1.54,0
1235,P.J.,Francescon,ChC,RP,FA,--,--,--,--,--
1236,Tyler,Rogers,SF,RP,FA,--,--,--,--,--
1237,Chris,Lee,Bal,SP,FA,--,--,--,--,--
1238,Nelson,Gonzalez,Col,RP,FA,--,--,--,--,--
1239,Michael,Johnson,LAD,RP,FA,--,--,--,--,--
1240,Fernando,Cruz,ChC,RP,FA,--,--,--,--,--
1241,Brian,Loconsole,LAA,RP,FA,--,--,--,--,--
1242,Grady,Wood,Sea,RP,FA,--,--,--,--,--
1243,Kody,Kerski,Sea,RP,FA,--,--,--,--,--
