RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
139,Kendall,Graveman,Oak,SP,FA,117,11,3.89,1.36,0
140,Tyler,Thornburg,Bos,RP,GS,68,3,3.29,1.24,28
141,Ryan,Dull,Oak,RP,FA,70,4,2.88,1.04,19
142,Matt,Bush,Tex,RP,FA,65,4,2.39,1,24
143,Shelby,Miller,Ari,SP,FA,126,8,4.56,1.43,0
144,Daniel,Hudson,Pit,RP,FA,71,3,4.24,1.38,24
145,Ervin,Santana,Min,SP,SHAW,151,12,3.77,1.3,0
146,Dan,Straily,Mia,SP,FA,164,10,3.96,1.28,0
147,Junior,Guerra,Mil,SP,FWB,138,10,3.48,1.28,0
148,Will,Harris,Hou,RP,SCHR,70,4,2.73,1.12,28
149,Jharel,Cotton,Oak,SP,FA,152,9,3.65,1.14,0
150,Tyson,Ross,Tex,SP,FA,97,6,3.69,1.28,0
151,Joe,Kelly,Bos,RP,FA,72,3,3.66,1.28,10
152,Robert,Gsellman,NYM,SP,FA,125,8,3.71,1.31,0
153,Joe,Musgrove,Hou,SP,FA,145,10,3.72,1.18,0
154,Carter,Capps,SD,RP,FA,58,2,2.63,1.1,6
155,Tyler,Chatwood,Col,SP,FA,119,11,4.03,1.43,0
156,Jose,De,"Leon,",,ZADZ,52,3,3.94,1.25,0
157,Mike,Montgomery,ChC,"SP,",FA,128,8,3.66,1.3,4
158,Grant,Dayton,LAD,RP,FA,77,4,2.59,1,18
159,Blake,Treinen,Wsh,RP,FA,55,4,3,1.27,33
160,Wei-Yin,Chen,Mia,SP,FA,131,8,4.14,1.22,0
161,Dan,Otero,Cle,RP,FA,47,4,2.82,1.12,10
162,Hunter,Strickland,SF,RP,FA,67,4,2.59,1.08,20
163,Francisco,Liriano,Tor,SP,FA,167,10,4.13,1.32,0
164,Joe,Blanton,FA,RP,FA,76,4,3.12,1.13,20
165,Bryan,Shaw,Cle,RP,FA,61,4,3.14,1.23,24
166,David,Phelps,Mia,RP,FWB,73,4,3.67,1.33,19
167,Chad,Kuhl,Pit,SP,FA,89,8,3.86,1.27,0
168,Greg,Holland,Col,RP,FA,58,3,2.87,1.26,8
169,Josh,Tomlin,Cle,SP,SB,135,10,4.38,1.2,0
170,Tyler,Skaggs,LAA,SP,FA,136,9,3.66,1.31,0
171,Carl,Edwards,ChC,RP,FA,50,2,2.85,1.24,8
172,R.A.,Dickey,Atl,SP,FA,146,9,4.13,1.34,0
173,Luis,Perdomo,SD,"RP,",FA,--,--,--,--,--
174,Edinson,Volquez,Mia,SP,FA,145,10,4.04,1.4,0
175,Hector,Rondon,ChC,RP,ZADZ,57,3,2.95,1.02,24
176,Lance,Lynn,StL,SP,FA,115,8,3.74,1.35,0
177,Mychal,Givens,Bal,RP,FA,87,4,2.88,1.21,15
178,Daniel,Norris,Det,SP,FA,128,8,4.16,1.34,0
179,Jesse,Chavez,LAA,"SP,",FA,135,8,4.29,1.32,0
180,Drew,Hutchison,Pit,RP,FA,84,5,3.94,1.27,0
181,Michael,Feliz,Hou,RP,FA,85,4,3.55,1.21,10
182,Ricky,Nolasco,LAA,SP,FA,163,10,4.31,1.27,0
183,Archie,Bradley,Ari,SP,FA,144,9,4.13,1.43,0
184,Darren,O'Day,Bal,RP,ZADZ,76,4,3,1.06,19
185,CC,Sabathia,NYY,SP,FA,158,9,4.48,1.33,0
186,Pedro,Baez,LAD,RP,FA,79,4,3.42,1.07,19
187,Luke,Weaver,StL,SP,FA,50,3,3.63,1.27,0
188,Clay,Buchholz,Phi,"SP,",FA,107,6,4,1.21,0
189,Miguel,Gonzalez,CWS,SP,FA,133,9,4.24,1.33,0
190,Luke,Gregerson,Hou,RP,FA,69,3,3.1,1.03,13
191,Adam,Conley,Mia,SP,GS,135,9,3.86,1.37,0
192,Steven,Brault,Pit,SP,FA,110,6,4.15,1.4,0
193,Jonathan,Papelbon,Wsh,RP,FA,--,--,--,--,--
194,Martin,Perez,Tex,SP,FA,134,11,4.22,1.39,0
195,Huston,Street,LAA,RP,FA,45,2,4.25,1.34,20
196,Matt,Wisler,Atl,RP,FA,47,2,4.58,1.35,0
197,Zack,Wheeler,NYM,SP,FA,35,2,3.92,1.44,0
198,Arodys,Vizcaino,Atl,RP,FA,59,2,3.45,1.32,19
199,Kyle,Gibson,Min,SP,FA,135,9,4.55,1.43,0
200,Tyler,Clippard,NYY,RP,FA,72,4,3.31,1.21,25
201,Nathan,Karns,KC,SP,FA,141,8,4.12,1.36,0
202,Matt,Andriese,TB,SP,FA,135,8,3.95,1.22,0
203,Brad,Hand,SD,RP,FA,95,5,3.07,1.16,20
204,James,Shields,CWS,SP,FA,173,8,4.69,1.44,0
205,Tony,Cingrani,Cin,RP,FA,66,3,4.15,1.45,15
206,Matt,Strahm,KC,SP,FA,156,9,3.56,1.19,0
207,Chris,Devenski,Hou,RP,FA,83,4,3.48,1.19,9
208,Charlie,Morton,Hou,SP,FA,87,6,4.09,1.3,0
209,Felipe,Rivero,Pit,RP,FA,83,4,3.55,1.26,26
210,Andrew,Triggs,Oak,SP,FA,108,7,3.57,1.22,0
211,Jimmy,Nelson,Mil,SP,FA,109,7,4.21,1.38,0
212,Corey,Knebel,Mil,RP,FA,54,3,3.38,1.25,21
213,Ariel,Miranda,Sea,RP,FA,53,4,4.25,1.31,0
214,Hector,Santiago,Min,SP,FA,126,9,4.53,1.38,0
215,Brad,Ziegler,Mia,RP,SB,55,3,3,1.27,24
216,Josh,Hader,Mil,SP,FA,--,--,--,--,--
217,Homer,Bailey*,Cin,SP,FA,127,8,4.11,1.33,0
218,Seth,Lugo,NYM,"SP,",FA,118,7,4.34,1.34,0
219,Matt,Boyd,Det,RP,FA,64,4,4.26,1.35,0
220,Pedro,Strop,ChC,RP,FA,58,3,2.63,1.02,20
221,Colby,Lewis,FA,SP,FA,110,8,4.36,1.26,0
222,Ryan,Buchter,SD,RP,FA,86,3,3.27,1.17,24
223,Tom,Koehler,Mia,SP,SLUG,146,9,4.3,1.42,0
224,Koji,Uehara,ChC,RP,SB,49,2,2.93,0.98,19
225,Jesse,Hahn,Oak,SP,FA,18,1,4.33,1.48,0
226,Yovani,Gallardo,Sea,SP,FA,105,8,4.35,1.43,0
227,Carlos,Torres,Mil,RP,FA,72,4,3.39,1.23,16
228,Tyler,Duffey,Min,SP,FA,98,7,4.4,1.33,0
229,Hyun-Jin,Ryu,LAD,SP,FA,55,4,3.84,1.23,0
230,Jason,Grilli,Tor,RP,FA,65,3,4.34,1.38,20
231,Patrick,Corbin,Ari,RP,FA,60,3,4.9,1.49,0
232,Brent,Honeywell,TB,SP,FA,--,--,--,--,--
233,Erasmo,Ramirez,TB,RP,FA,65,4,3.69,1.25,19
234,Brandon,McCarthy,LAD,RP,FA,50,3,4.12,1.29,0
235,Jeremy,Jeffress,Tex,RP,FA,49,3,3.05,1.32,19
236,Reynaldo,Lopez,CWS,RP,FA,85,4,4.22,1.3,0
237,Phil,Hughes,Min,SP,FA,83,6,4.76,1.31,0
238,Brett,Cecil,StL,RP,FA,62,3,2.82,1.16,12
239,Andrew,Cashner,Tex,SP,FA,114,7,4.91,1.5,0
240,Bruce,Rondon,Det,RP,FA,44,2,3.65,1.27,7
241,Chad,Bettis,Col,SP,FA,152,10,4.6,1.39,0
242,Drew,Storen,Cin,RP,FA,66,3,3.71,1.19,12
243,Alex,Wood,LAD,RP,FA,59,4,3.44,1.21,0
244,Juan,Nicasio,Pit,"RP,",FA,77,4,3.99,1.33,10
245,Jake,Thompson,Phi,SP,FA,34,2,3.98,1.26,0
246,Zach,McAllister,Cle,RP,FA,51,3,3.81,1.35,10
247,Aaron,Blair,Atl,RP,FA,57,3,4.5,1.41,0
248,Trevor,May,Min,RP,FA,52,2,4.06,1.31,5
249,Jose,Urena,Mia,"RP,",FA,15,1,4.5,1.35,0
250,Luis,Cessa,NYY,RP,FA,85,5,3.99,1.19,0
251,Alec,Asher,Phi,SP,FA,23,2,4.06,1.19,0
252,Yimi,Garcia*,LAD,RP,FA,--,--,--,--,--
253,LaTroy,Hawkins,Tor,RP,FA,--,--,--,--,--
254,Bruce,Chen,Cle,SP,FA,--,--,--,--,--
255,Rafael,Betancourt,Col,RP,FA,--,--,--,--,--
256,Joe,Nathan,Wsh,RP,FA,38,2,3.65,1.57,4
257,Tim,Hudson,SF,SP,FA,--,--,--,--,--
258,Randy,Wolf,Det,SP,FA,--,--,--,--,--
259,A.J.,Burnett,Pit,SP,FA,--,--,--,--,--
260,Buddy,Carlyle,NYM,RP,FA,--,--,--,--,--
261,Barry,Zito,Oak,SP,FA,--,--,--,--,--
262,Jason,Marquis,Cin,SP,FA,--,--,--,--,--
263,Randy,Choate,Tor,RP,FA,--,--,--,--,--
264,Mark,Buehrle,Tor,SP,FA,--,--,--,--,--
265,Ryan,Vogelsong,Min,RP,FA,18,1,4.5,1.43,0
266,Rafael,Soriano,Tor,RP,FA,--,--,--,--,--
267,Joe,Beimel,Sea,RP,FA,--,--,--,--,--
268,Scott,Atchison,Cle,RP,FA,--,--,--,--,--
269,Kyle,Lohse,Tex,SP,FA,--,--,--,--,--
270,Grant,Balfour,TB,RP,FA,--,--,--,--,--
271,Jake,Peavy,FA,"SP,",FA,57,3,4.57,1.33,0
272,Jerome,Williams,FA,RP,FA,19,1,5.91,1.57,0
273,Jeremy,Affeldt,SF,RP,FA,--,--,--,--,--
274,Aaron,Harang,Phi,SP,FA,--,--,--,--,--
275,Oliver,Perez,Wsh,RP,FA,43,2,4.17,1.41,12
276,Jeremy,Guthrie,Wsh,SP,FA,--,--,--,--,--
277,Sean,Burnett,Phi,RP,FA,10,1,3,1.17,0
278,Javier,Lopez,FA,RP,FA,22,2,3.34,1.34,10
279,Chris,Capuano,FA,RP,FA,38,2,4.8,1.51,0
280,Adam,Loewen,Tex,RP,FA,--,--,--,--,--
281,Dan,Haren,ChC,SP,FA,--,--,--,--,--
282,Kevin,Correia,Phi,SP,FA,--,--,--,--,--
283,Chin-Hui,Tsao,LAD,RP,FA,--,--,--,--,--
284,Kevin,Gregg,Sea,RP,FA,--,--,--,--,--
285,Neal,Cotts,Wsh,RP,FA,--,--,--,--,--
286,Matt,Thornton,SD,RP,FA,--,--,--,--,--
287,Matt,Belisle,Min,RP,FA,34,3,2.87,1.3,3
288,Edwin,Jackson,FA,"RP,",FA,62,3,5.76,1.57,0
289,Jorge,De,La,,FA,130,7,4.34,1.45,0
290,Dustin,McGowan,Mia,RP,FA,61,3,3.86,1.4,0
291,Gavin,Floyd,Tor,RP,FA,20,1,3.86,1.19,0
292,David,Aardsma,Tor,RP,FA,--,--,--,--,--
293,Jason,Frasor,Atl,RP,FA,--,--,--,--,--
294,Chad,Qualls,Col,RP,FA,38,2,5.36,1.43,8
295,Jeff,Francis,Tor,RP,FA,--,--,--,--,--
296,Chris,Young,KC,RP,FA,51,3,4.98,1.46,0
297,Logan,Kensing,Det,RP,FA,10,1,4.5,1.57,0
298,Matt,Cain,SF,RP,FA,79,4,5.13,1.43,0
299,Tim,Stauffer,Ari,RP,FA,--,--,--,--,--
300,Kyle,Davies,NYY,RP,FA,--,--,--,--,--
301,Chien-Ming,Wang,KC,"SP,",FA,--,--,--,--,--
302,Chris,Narveson,Cle,RP,FA,--,--,--,--,--
303,Zach,Duke,StL,RP,FA,--,--,--,--,--
304,Scott,Baker,LAD,SP,FA,--,--,--,--,--
305,Wandy,Rodriguez,Hou,SP,FA,--,--,--,--,--
306,Joel,Peralta,ChC,RP,FA,--,--,--,--,--
307,C.J.,Wilson,FA,RP,FA,40,3,4.32,1.38,0
308,J.P.,Howell,Tor,RP,FA,39,3,4.02,1.4,0
309,Blaine,Boyer,Atl,RP,FA,36,3,3.66,1.36,10
310,Jason,Vargas,KC,SP,FA,101,7,4.33,1.33,0
311,Dana,Eveland,TB,RP,FA,16,1,4.29,1.48,1
312,Roberto,Hernandez,Atl,SP,FA,--,--,--,--,--
313,Craig,Breslow,Min,RP,FA,--,--,--,--,--
314,Jonathan,Broxton,StL,RP,FA,53,3,3.84,1.28,15
315,Scott,Feldman,Cin,RP,FA,75,6,4.54,1.38,0
316,Shaun,Marcum,Cle,SP,FA,--,--,--,--,--
317,Tom,Gorzelanny,NYM,RP,FA,--,--,--,--,--
318,Yusmeiro,Petit,LAA,RP,FA,59,3,4.15,1.2,0
319,Anibal,Sanchez,Det,"SP,",FA,121,7,4.8,1.36,0
320,Chad,Billingsley,Phi,SP,FA,--,--,--,--,--
321,Jered,Weaver,FA,SP,SB,122,8,4.98,1.38,0
